election_year,state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,R.S.UMA BHARATTHY,Female,49,GEN,NCP,Clock,1150,1,1151,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Male,46,GEN,INC,Hand,83144,13,83157,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,Male,47,GEN,BSP,Elephant,1139,0,1139,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,K.G.DAS,Male,70,GEN,CPM,"Hammer, Sickle and Star",1776,1,1777,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Male,64,GEN,BJP,Lotus,90882,87,90969,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANITA MONDAL,Female,48,GEN,AITC,Flowers and Grass,2283,0,2283,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,N K P NAIR,Male,59,GEN,CPI(ML)(L),Flag with Three Stars,436,0,436,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,A PANDIAN,Male,41,GEN,AIFB,Lion,225,0,225,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,RAGHUBIR SINGH,Male,49,GEN,SP,Bicycle,379,0,379,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,Male,43,GEN,AAAP,Broom,3725,12,3737,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,N KANNAN,Male,35,GEN,IND,Battery Torch,314,0,314,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,Male,46,GEN,IND,BUCKET,429,0,429,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,Male,38,ST,IND,Candles,1587,0,1587,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,Male,41,GEN,IND,Gas Cylinder,334,0,334,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,SARAVANAN,Male,38,GEN,IND,Coconut,847,0,847,269360
2014,Andaman & Nicobar Islands,Andaman & Nicobar Islands,None of the Above,,,,NOTA,NOTA,1563,1,1564,269360
2014,Andhra Pradesh,Aruku ,KISHORE CHANDRA DEO,Male,67,ST,INC,Hand,52574,310,52884,1272340
2014,Andhra Pradesh,Aruku ,GUMMIDI SANDHYARANI,Female,41,ST,TDP,Bicycle,319846,1947,321793,1272340
2014,Andhra Pradesh,Aruku ,MIDIYAM BABURAO,Male,63,ST,CPM,"Hammer, Sickle and Star",38254,644,38898,1272340
